"filename", "language", "C#", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Workspace\jjk\minecraftclone\.config\dotnet-tools.json", "JSON", 0, 0, 36, 0, 0, 0, 36
"c:\Workspace\jjk\minecraftclone\MainGame.cs", "C#", 179, 0, 0, 0, 5, 36, 220
"c:\Workspace\jjk\minecraftclone\MinecraftClone.csproj", "XML", 0, 29, 0, 0, 0, 0, 29
"c:\Workspace\jjk\minecraftclone\Persistence\WorldSave.cs", "C#", 87, 0, 0, 0, 12, 16, 115
"c:\Workspace\jjk\minecraftclone\Player\PlayerController.cs", "C#", 78, 0, 0, 0, 8, 13, 99
"c:\Workspace\jjk\minecraftclone\Player\PlayerPhysics.cs", "C#", 56, 0, 0, 0, 14, 16, 86
"c:\Workspace\jjk\minecraftclone\Player\VoxelRaycaster.cs", "C#", 71, 0, 0, 0, 8, 11, 90
"c:\Workspace\jjk\minecraftclone\Program.cs", "C#", 2, 0, 0, 0, 0, 1, 3
"c:\Workspace\jjk\minecraftclone\README.md", "Markdown", 0, 0, 0, 97, 0, 39, 136
"c:\Workspace\jjk\minecraftclone\Rendering\BlockHighlight.cs", "C#", 38, 0, 0, 0, 2, 8, 48
"c:\Workspace\jjk\minecraftclone\Rendering\ChunkMesh.cs", "C#", 61, 0, 0, 0, 5, 12, 78
"c:\Workspace\jjk\minecraftclone\Rendering\ChunkMesher.cs", "C#", 147, 0, 0, 0, 29, 27, 203
"c:\Workspace\jjk\minecraftclone\Rendering\FirstPersonCamera.cs", "C#", 30, 0, 0, 0, 4, 13, 47
"c:\Workspace\jjk\minecraftclone\Rendering\TextureAtlas.cs", "C#", 111, 0, 0, 0, 13, 16, 140
"c:\Workspace\jjk\minecraftclone\Rendering\WorldRenderer.cs", "C#", 63, 0, 0, 0, 7, 11, 81
"c:\Workspace\jjk\minecraftclone\UI\Hotbar.cs", "C#", 69, 0, 0, 0, 5, 15, 89
"c:\Workspace\jjk\minecraftclone\UI\Hud.cs", "C#", 21, 0, 0, 0, 1, 6, 28
"c:\Workspace\jjk\minecraftclone\World\BlockInfo.cs", "C#", 39, 0, 0, 0, 4, 5, 48
"c:\Workspace\jjk\minecraftclone\World\BlockType.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"c:\Workspace\jjk\minecraftclone\World\Chunk.cs", "C#", 23, 0, 0, 0, 12, 14, 49
"c:\Workspace\jjk\minecraftclone\World\ChunkCoord.cs", "C#", 2, 0, 0, 0, 1, 2, 5
"c:\Workspace\jjk\minecraftclone\World\ChunkManager.cs", "C#", 222, 0, 0, 0, 28, 32, 282
"c:\Workspace\jjk\minecraftclone\World\FastNoiseLite.cs", "C#", 1904, 0, 0, 0, 235, 367, 2506
"c:\Workspace\jjk\minecraftclone\World\TerrainGenerator.cs", "C#", 104, 0, 0, 0, 13, 21, 138
"Total", "-", 3319, 29, 36, 97, 406, 683, 4570
